,Date,Study,Study Link,Journal,Study Type,Factors,Influential,Excerpt,Measure of Evidence,Added on
0,2020-05-26,Containing the Spread of Coronavirus Disease 2019 (COVID-19): Meteorological Factors and Control Strategies,https://doi.org/10.1101/2020.05.23.20111468,medrxiv,Ecological Regression,Temperature,Y,We found that high temperature mitigates the transmission of the disease,countries: 70,05/31/2020
1,2020-05-26,Containing the Spread of Coronavirus Disease 2019 (COVID-19): Meteorological Factors and Control Strategies,https://doi.org/10.1101/2020.05.23.20111468,medrxiv,Ecological Regression,Relative Humidity,Y,"High relative humidity promotes COVID-19 transmission when temperature is low, but tends to reduce transmission when temperature is high",countries: 70,05/31/2020
2,2020-05-25,COVID-19: Effects of weather conditions on the propagation of respiratory droplets,https://doi.org/10.1101/2020.05.24.20111963,medrxiv,Simulation,Temperature,Y,"Our results suggest that high temperature and low humidity promote the formation of aerosol particles, while low temperature and high humidity promote droplet contact transmission",-,05/31/2020
3,2020-05-25,COVID-19: Effects of weather conditions on the propagation of respiratory droplets,https://doi.org/10.1101/2020.05.24.20111963,medrxiv,Simulation,Humidity,Y,"Our results suggest that high temperature and low humidity promote the formation of aerosol particles, while low temperature and high humidity promote droplet contact transmission",-,05/31/2020
4,2020-05-25,COVID-19: Effects of weather conditions on the propagation of respiratory droplets,https://doi.org/10.1101/2020.05.24.20111963,medrxiv,Simulation,Wind Velocity,Y,"Therefore, the droplet spreading distance has been dramatically increased as the wind velocity increases, with a maximum value of 23 m in a gentle breeze (Vair = 3 m/s).",-,05/31/2020
5,2020-05-24,The Modest Impact of Weather and Air Pollution on COVID-19 Transmission,https://doi.org/10.1101/2020.05.05.20092627,medrxiv,Ecological Regression,Temperature,Y,"We found a robust effect of mean daily temperature, which is best characterized within two regimes, below and above 25oC (Figure 1-C). Temperatures higher than 25oC were associated with lower transmission rates (by 3.7% (CI: 1.9-5.4%) per additional degree) while those below that threshold had a smaller impact (0.4% (0.14-0.66) reduction per degree).",locations: 3739,05/24/2020
6,2020-05-24,The Modest Impact of Weather and Air Pollution on COVID-19 Transmission,https://doi.org/10.1101/2020.05.05.20092627,medrxiv,Ecological Regression,Diurnal Temperature,Y,"A one standard deviation increase in each increases 𝑅 by 1.4% (0.4-2.4%) for diurnal temperature, 1.3% (0.3-2.4%) for air pressure, 1.4% (0.4-2.5%) for log-transformed wind speed, 2.7% (1.7- 3.8%) for log-transformed precipitation, 2.4% (1.1-3.6%) for log-transformed O3, and 2.9% (1.1- 4.6%) for log-transformed SO2.",locations: 3739,05/24/2020
7,2020-05-24,The Modest Impact of Weather and Air Pollution on COVID-19 Transmission,https://doi.org/10.1101/2020.05.05.20092627,medrxiv,Ecological Regression,Precipitation,Y,"A one standard deviation increase in each increases 𝑅 by 1.4% (0.4-2.4%) for diurnal temperature, 1.3% (0.3-2.4%) for air pressure, 1.4% (0.4-2.5%) for log-transformed wind speed, 2.7% (1.7- 3.8%) for log-transformed precipitation, 2.4% (1.1-3.6%) for log-transformed O3, and 2.9% (1.1- 4.6%) for log-transformed SO2.",locations: 3739,05/24/2020
8,2020-05-24,The Modest Impact of Weather and Air Pollution on COVID-19 Transmission,https://doi.org/10.1101/2020.05.05.20092627,medrxiv,Ecological Regression,Pressure,Y,"A one standard deviation increase in each increases 𝑅 by 1.4% (0.4-2.4%) for diurnal temperature, 1.3% (0.3-2.4%) for air pressure, 1.4% (0.4-2.5%) for log-transformed wind speed, 2.7% (1.7- 3.8%) for log-transformed precipitation, 2.4% (1.1-3.6%) for log-transformed O3, and 2.9% (1.1- 4.6%) for log-transformed SO2.",locations: 3739,05/24/2020
9,2020-05-24,The Modest Impact of Weather and Air Pollution on COVID-19 Transmission,https://doi.org/10.1101/2020.05.05.20092627,medrxiv,Ecological Regression,Average Wind speed,Y,"A one standard deviation increase in each increases 𝑅 by 1.4% (0.4-2.4%) for diurnal temperature, 1.3% (0.3-2.4%) for air pressure, 1.4% (0.4-2.5%) for log-transformed wind speed, 2.7% (1.7- 3.8%) for log-transformed precipitation, 2.4% (1.1-3.6%) for log-transformed O3, and 2.9% (1.1- 4.6%) for log-transformed SO2.",locations: 3739,05/24/2020
